Country,Item,Year,Value
Viet Nam,Mangroves,2001,385.1835
Viet Nam,Mangroves,2002,359.9182
Viet Nam,Mangroves,2003,347.5539
Viet Nam,Mangroves,2004,348.3696
Viet Nam,Mangroves,2005,349.1209
Viet Nam,Mangroves,2006,346.4591
Viet Nam,Mangroves,2007,338.4094
Viet Nam,Mangroves,2008,334.3523
Viet Nam,Mangroves,2009,329.6084
Viet Nam,Mangroves,2010,319.3906
Viet Nam,Mangroves,2011,310.654
Viet Nam,Mangroves,2012,304.9226
Viet Nam,Mangroves,2013,295.3918
Viet Nam,Mangroves,2014,283.6285
Viet Nam,Mangroves,2015,274.4196
Viet Nam,Mangroves,2016,272.1657
Viet Nam,Mangroves,2017,276.6306
Viet Nam,Mangroves,2018,283.8861
